id,platform,os,product_id,detail,price,html_name,action_name
1,tw,android,com.lakoo.teon.oath15,1本,NTD,320,paypass15,paypass15
2,tw,android,com.lakoo.teon.oath15days_x5,5本,NTD,900,paypass15x5,paypass15x5
3,tw,android,com.lakoo.teon.oath15days_x10,10本,NTD,1800,paypass15x10,paypass15x10
4,tw,ios,com.lakoo.teon.oath15days,1本,NTD,320,paypass15,paypass15
5,tw,ios,com.lakoo.teon.oath15days_x5,5本,NTD,900,paypass15x5,paypass15x5
6,tw,ios,com.lakoo.teon.oath15days_x10,10本,NTD,1800,paypass15x10,paypass15x10
